Id,SalePrice
1461,119078.8983
1462,151040.0978
1463,174324.9378
1464,190138.9074
1465,194852.769
1466,176114.4864
1467,176972.3668
1468,169325.5318
1469,183753.165
1470,121905.1117
1471,186953.7417
1472,98107.58506
1473,97783.20799
1474,148108.4754
1475,118380.8704
1476,360326.7599
1477,247860.0906
1478,300125.3944
1479,286019.1597
1480,467587.7756
1481,316198.5107
1482,211900.5772
1483,175212.3078
1484,170486.2404
1485,186554.9881
1486,195019.9238
1487,321902.1388
1488,234703.4853
1489,195569.5993
1490,220626.3387
1491,192723.3425
1492,92814.57601
1493,186618.0488
1494,292702.3947
1495,284716.1161
1496,229926.5538
1497,181039.5385
1498,168155.5198
1499,160069.9956
1500,160710.4299
1501,172286.8009
1502,157252.7485
1503,273913.7862
1504,240706.7174
1505,222410.4393
1506,185097.2403
1507,238789.5608
1508,193558.1851
1509,159418.2575
1510,148410.8031
1511,153360.2925
1512,168654.1125
1513,146766.5972
1514,151383.4029
1515,187899.6113
1516,154736.3833
1517,157233.0518
1518,131202.3603
1519,214809.7048
1520,133132.8272
1521,134015.0336
1522,168548.9521
1523,113576.0308
1524,121422.7331
1525,121606.8996
1526,117252.3594
1527,109297.1601
1528,129838.9104
1529,146900.1853
1530,187112.4326
1531,122826.6451
1532,103981.3504
1533,143642.9275
1534,121166.2053
1535,140679.8639
1536,112186.8195
1537,71129.87858
1538,150226.1138
1539,193944.7932
1540,100699.3624
1541,138455.5696
1542,134401.4661
1543,180034.0123
1544,86813.24134
1545,109130.6332
1546,133252.6514
1547,132811.8258
1548,134098.5328
1549,119539.1668
1550,137760.9358
1551,113284.0729
1552,141809.0229
1553,137732.0973
1554,120784.9876
1555,156706.0397
1556,91321.54361
1557,102428.6411
1558,99837.23842
1559,88269.94104
1560,135023.2172
1561,125247.086
1562,130266.0967
1563,122909.1657
1564,156311.8522
1565,145956.0333
1566,229155.0772
1567,81632.36072
1568,229229.692
1569,133381.3366
1570,135544.3705
1571,118148.0209
1572,139481.2145
1573,224154.9947
1574,118904.2491
1575,219928.9919
1576,238764.1354
1577,193004.0289
1578,145443.4153
1579,140546.8172
1580,193022.7127
1581,147888.1621
1582,129379.519
1583,298322.6217
1584,231446.1852
1585,139098.6011
1586,75534.15204
1587,107246.1507
1588,149276.6731
1589,97198.52687
1590,133069.4712
1591,96953.73138
1592,115923.0694
1593,130890.9857
1594,126411.8645
1595,113734.5597
1596,219176.9587
1597,177856.9044
1598,205314.3735
1599,173878.0016
1600,173920.3327
1601,73102.05031
1602,110857.4144
1603,88331.10316
1604,267346.9271
1605,247458.7094
1606,167615.4257
1607,172181.1189
1608,217960.6939
1609,187453.2088
1610,156457.9506
1611,142611.601
1612,169998.8451
1613,168327.0501
1614,123455.8748
1615,89847.83656
1616,81450.1786
1617,91278.64636
1618,129240.251
1619,141167.786
1620,163999.6971
1621,135360.8693
1622,148863.9519
1623,269995.6058
1624,208365.2322
1625,121773.1146
1626,172256.7366
1627,186380.8038
1628,275176.8908
1629,179665.5147
1630,320156.9055
1631,215069.987
1632,236473.9333
1633,178819.7323
1634,187080.3572
1635,178063.0962
1636,161444.0785
1637,187061.137
1638,190821.6292
1639,183523.9679
1640,245470.9422
1641,176768.4503
1642,235028.8849
1643,221793.7784
1644,232255.3118
1645,193607.7447
1646,161303.4472
1647,161253.9384
1648,135402.0219
1649,142626.604
1650,119362.4858
1651,121927.9237
1652,98081.23964
1653,101145.512
1654,151449.1777
1655,140356.2643
1656,144643.1058
1657,152628.6019
1658,153872.0814
1659,128488.4033
1660,151907.8502
1661,423922.0067
1662,378206.0804
1663,362010.4093
1664,452846.7322
1665,305336.3857
1666,323618.7711
1667,358164.9883
1668,339399.8893
1669,305099.3359
1670,338999.6058
1671,259319.465
1672,434314.1338
1673,295692.0039
1674,247875.8448
1675,194281.8233
1676,192428.8379
1677,211977.2114
1678,440240.1136
1679,381859.2799
1680,315307.3705
1681,247896.6608
1682,312744.0384
1683,189987.7481
1684,177705.8486
1685,175646.6944
1686,173426.4582
1687,172500.148
1688,187786.3493
1689,193239.4655
1690,194098.1752
1691,185420.4215
1692,266270.895
1693,172512.2758
1694,185093.6297
1695,172995.5852
1696,268080.0702
1697,175499.8412
1698,335769.4501
1699,323190.9258
1700,250776.8161
1701,264944.2383
1702,239985.606
1703,245593.2937
1704,278239.0748
1705,241265.7294
1706,386582.8283
1707,213095.9856
1708,206677.4102
1709,263128.4911
1710,222775.8984
1711,275140.8765
1712,249186.7145
1713,267348.2878
1714,217935.0728
1715,207044.1512
1716,179955.1117
1717,175575.1163
1718,133076.5438
1719,205903.7947
1720,240640.6024
1721,161336.4049
1722,122158.1145
1723,154500.4952
1724,206847.7917
1725,237759.0457
1726,190488.081
1727,163205.6534
1728,180248.6418
1729,167287.4458
1730,155543.1119
1731,123336.2978
1732,129957.32
1733,117226.9061
1734,125947.3253
1735,131295.0022
1736,113962.2105
1737,306071.3289
1738,231733.1401
1739,252770.0026
1740,206538.8924
1741,183143.9665
1742,170466.6661
1743,178250.1762
1744,303532.9672
1745,212526.28
1746,209543.0864
1747,211626.4342
1748,216491.9401
1749,150092.7539
1750,130502.1676
1751,236918.1248
1752,121312.5309
1753,145192.1729
1754,194930.1313
1755,162677.1432
1756,128172.2971
1757,122023.1664
1758,147016.4163
1759,160547.9303
1760,162735.9672
1761,143139.1226
1762,179286.8773
1763,176787.1419
1764,118842.3267
1765,162722.8713
1766,183928.789
1767,207660.6568
1768,142268.1522
1769,170139.9108
1770,154026.2607
1771,124417.2484
1772,136115.5391
1773,134229.1121
1774,136839.7714
1775,141776.2105
1776,127441.4557
1777,115574.2185
1778,137938.7606
1779,123564.4159
1780,173256.1392
1781,126625.2941
1782,96010.93487
1783,139441.0548
1784,104852.0319
1785,116952.7856
1786,151481.3233
1787,165436.3144
1788,63472.64801
1789,96757.44823
1790,88565.06718
1791,184531.9082
1792,152543.372
1793,134978.3712
1794,151474.544
1795,135639.5883
1796,132179.9682
1797,111812.8105
1798,122786.3642
1799,112304.9457
1800,128296.0213
1801,126188.2142
1802,140550.6724
1803,150073.1116
1804,138650.2651
1805,137327.0257
1806,121097.0119
1807,135234.9419
1808,120157.7513
1809,122400.0187
1810,138118.3163
1811,96183.16774
